"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5680",4,0,0,0.0047,0,0,1,"E"
"5681",3,0,0.0014,0.0042,0,0.2505,0.7495,"CE"
"5682",3,0,0.002,0.0037,0,0.3521,0.6479,"CE"
"5683",3,0,0.0014,0.004,0,0.266,0.734,"CE"
"5684",4,0,0,0.0049,0,0,1,"E"
"5685",3,0,0.0013,0.0041,0,0.2406,0.7594,"CE"
"5686",3,0,0.0014,0.0039,0,0.2675,0.7325,"CE"
"5687",3,0,0.0017,0.0037,0,0.3127,0.6873,"CE"
"5688",3,0,0.0014,0.0038,0,0.2689,0.7311,"CE"
"5689",8,0,0,0.0056,0,0,1,"E"
"5690",3,0,0.0011,0.0033,0,0.2551,0.7449,"CE"
"5691",3,0,0.0017,0.0044,0,0.2821,0.7179,"CE"
"5692",3,0,0.0026,0.0033,0,0.4485,0.5515,"CE"
"5693",2,0.0021,0,0.0039,0.3475,0,0.6525,"AE"
"5694",3,0,0.0014,0.0035,0,0.2788,0.7212,"CE"
"5695",3,0,0.0019,0.0037,0,0.3411,0.6589,"CE"
"5696",4,0,0,0.0051,0,0,1,"E"
"5697",3,0,0.0015,0.0037,0,0.2828,0.7172,"CE"
"5698",3,0,0.0013,0.0042,0,0.2353,0.7647,"CE"
"5699",3,0,0.0013,0.0035,0,0.2648,0.7352,"CE"
"5700",3,0,0.0019,0.0037,0,0.3356,0.6644,"CE"
"5701",4,0,0,0.0052,0,0,1,"E"
"5702",3,0,0.0019,0.0034,0,0.36,0.64,"CE"
"5703",2,0.0024,0,0.0037,0.3876,0,0.6124,"AE"
"5704",3,0,0.002,0.0038,0,0.3439,0.6561,"CE"
"5705",3,0,0.0011,0.0043,0,0.1998,0.8002,"CE"
"5706",2,0.0021,0,0.0031,0.3946,0,0.6054,"AE"
"5707",3,0,0.0017,0.0038,0,0.3123,0.6877,"CE"
"5708",3,0,0.0013,0.0039,0,0.2408,0.7592,"CE"
"5709",4,0,0,0.0046,0,0,1,"E"
"5710",3,0,0.0011,0.0042,0,0.2062,0.7938,"CE"
"5711",3,0,0.002,0.0046,0,0.301,0.699,"CE"
"5712",3,0,0.0012,0.0041,0,0.2209,0.7791,"CE"
"5713",3,0,0.0013,0.0047,0,0.2217,0.7783,"CE"
"5714",3,0,0.0013,0.0037,0,0.2535,0.7465,"CE"
"5715",3,0,0.0013,0.004,0,0.25,0.75,"CE"
"5716",3,0,0.0012,0.0043,0,0.2152,0.7848,"CE"
"5717",8,0,0,0.0054,0,0,1,"E"
"5718",4,0,0,0.0048,0,0,1,"E"
"5719",3,0,0.0024,0.0037,0,0.3958,0.6042,"CE"
"5720",3,0,0.0021,0.0043,0,0.331,0.669,"CE"
"5721",3,0,0.0013,0.0038,0,0.2491,0.7509,"CE"
"5722",2,0.0021,0,0.0036,0.3723,0,0.6277,"AE"
"5723",3,0,0.0014,0.0037,0,0.2795,0.7205,"CE"
"5724",3,0,0.002,0.0041,0,0.3337,0.6663,"CE"
"5725",3,0,0.0015,0.0035,0,0.2923,0.7077,"CE"
"5726",3,0,0.0016,0.004,0,0.2884,0.7116,"CE"
"5727",3,0,0.0014,0.0035,0,0.2928,0.7072,"CE"
"5728",4,0,0,0.0048,0,0,1,"E"
"5729",3,0,0.001,0.0038,0,0.2002,0.7998,"CE"
"5730",8,0,0,0.0044,0,0,1,"E"
"5731",3,0,0.0019,0.0042,0,0.3071,0.6929,"CE"
"5732",3,0,0.0017,0.0044,0,0.2803,0.7197,"CE"
"5733",4,0,0,0.0047,0,0,1,"E"
"5734",3,0,0.0017,0.0041,0,0.2878,0.7122,"CE"
"5735",2,0.0027,0,0.0029,0.487,0,0.513,"AE"
"5736",4,0,0,0.0048,0,0,1,"E"
"5737",3,0,0.0019,0.0041,0,0.322,0.678,"CE"
"5738",3,0,0.0016,0.004,0,0.2799,0.7201,"CE"
"5739",3,0,0.0012,0.0043,0,0.2136,0.7864,"CE"
"5740",3,0,0.001,0.0036,0,0.2164,0.7836,"CE"
"5741",3,0,0.0022,0.0045,0,0.3258,0.6742,"CE"
"5742",3,0,0.0013,0.0039,0,0.241,0.759,"CE"
"5743",3,0,0.0015,0.0039,0,0.2724,0.7276,"CE"
"5744",4,0,0,0.0045,0,0,1,"E"
"5745",3,0,0.0014,0.0045,0,0.2428,0.7572,"CE"
"5746",8,0,0,0.0058,0,0,1,"E"
"5747",3,0,0.0019,0.0035,0,0.3463,0.6537,"CE"
"5748",2,0.0017,0,0.0038,0.3091,0,0.6909,"AE"
"5749",2,0.0017,0,0.0043,0.282,0,0.718,"AE"
"5750",3,0,0.0016,0.0031,0,0.3446,0.6554,"CE"
"5751",3,0,0.0017,0.0038,0,0.3064,0.6936,"CE"
"5752",3,0,0.002,0.0034,0,0.3723,0.6277,"CE"
"5753",3,0,0.0017,0.0042,0,0.2814,0.7186,"CE"
"5754",3,0,0.001,0.0043,0,0.184,0.816,"CE"
"5755",2,0.0022,0,0.0037,0.3733,0,0.6267,"AE"
"5756",3,0,0.0018,0.0042,0,0.3,0.7,"CE"
"5757",4,0,0,0.0044,0,0,1,"E"
"5758",8,0,0,0.0043,0,0,1,"E"
"5759",3,0,0.0016,0.0038,0,0.2946,0.7054,"CE"
"5760",3,0,0.0017,0.0044,0,0.2784,0.7216,"CE"
"5761",3,0,0.0019,0.0036,0,0.3374,0.6626,"CE"
"5762",6,0.0017,0,0.0043,0.2795,0,0.7205,"AE"
"5763",3,0,0.0014,0.0046,0,0.2294,0.7706,"CE"
"5764",3,0,0.0014,0.0044,0,0.2433,0.7567,"CE"
"5765",3,0,0.0014,0.0046,0,0.2389,0.7611,"CE"
"5766",3,0,0.0016,0.0042,0,0.2728,0.7272,"CE"
