"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"4937",2,0.0024,0,0.0022,0.5157,0,0.4843,"AE"
"4938",2,0.0017,0,0.003,0.3694,0,0.6306,"AE"
"4939",7,0,0.002,0.0024,0,0.4545,0.5455,"DE"
"4940",7,0,0.0021,0.0027,0,0.4315,0.5685,"DE"
"4941",7,0,0.0022,0.0026,0,0.454,0.546,"DE"
"4942",3,0,0.0014,0.0029,0,0.3224,0.6776,"CE"
"4943",3,0,0.0012,0.003,0,0.2806,0.7194,"CE"
"4944",2,0.0016,0,0.003,0.3531,0,0.6469,"AE"
"4945",6,0.0021,0,0.002,0.5014,0,0.4986,"AE"
"4946",7,0,0.0012,0.0021,0,0.3615,0.6385,"DE"
"4947",3,0,0.0013,0.0042,0,0.2311,0.7689,"CE"
"4948",3,0,8e-04,0.0037,0,0.1753,0.8247,"CE"
"4949",6,0.0021,0,0.0032,0.3997,0,0.6003,"AE"
"4950",2,0.0016,0,0.0027,0.3761,0,0.6239,"AE"
"4951",2,0.0024,0,0.0022,0.5148,0,0.4852,"AE"
"4952",3,0,0.0019,0.0032,0,0.3731,0.6269,"CE"
"4953",2,0.0021,0,0.0029,0.4138,0,0.5862,"AE"
"4954",6,0.0012,0,0.0032,0.2699,0,0.7301,"AE"
"4955",2,0.0011,0,0.0032,0.2639,0,0.7361,"AE"
"4956",2,0.002,0,0.0029,0.4067,0,0.5933,"AE"
"4957",3,0,0.002,0.0031,0,0.3863,0.6137,"CE"
"4958",7,0,0.0015,0.002,0,0.4248,0.5752,"DE"
"4959",3,0,0.0016,0.0034,0,0.3262,0.6738,"CE"
"4960",3,0,7e-04,0.003,0,0.1846,0.8154,"CE"
"4961",6,0.003,0,0.0028,0.5222,0,0.4778,"AE"
"4962",2,0.0018,0,0.0029,0.3806,0,0.6194,"AE"
"4963",7,0,0.0013,0.0026,0,0.3383,0.6617,"DE"
"4964",3,0,0.0012,0.0036,0,0.2495,0.7505,"CE"
"4965",3,0,0.0016,0.0028,0,0.367,0.633,"CE"
"4966",3,0,0.0012,0.0038,0,0.2424,0.7576,"CE"
"4967",3,0,0.0012,0.0031,0,0.2871,0.7129,"CE"
"4968",3,0,0.0011,0.003,0,0.2577,0.7423,"CE"
"4969",8,0,0,0.0034,0,0,1,"E"
"4970",6,0.003,0,0.0019,0.613,0,0.387,"AE"
"4971",8,0,0,0.0042,0,0,1,"E"
"4972",3,0,0.0018,0.0029,0,0.3778,0.6222,"CE"
"4973",2,0.0022,0,0.0033,0.3951,0,0.6049,"AE"
"4974",3,0,0.0013,0.0031,0,0.2915,0.7085,"CE"
"4975",7,0,0.0013,0.0024,0,0.3543,0.6457,"DE"
"4976",3,0,0.0015,0.0032,0,0.3258,0.6742,"CE"
"4977",7,0,0.0011,0.0032,0,0.2509,0.7491,"DE"
